                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                   1.56,                 1.7188,                 1.7562,                0.85821,                0.30018,                0.38182,                0.17283,                 1.7823,                 1.7242,                 2.0905,             0.00054478,             0.00054478,             0.00054478
                     36,                 1.5237,                 1.6247,                 1.6925,                0.85574,                0.34158,                 0.4034,                0.19256,                 1.7211,                 1.6043,                 2.0351,             0.00051177,             0.00051177,             0.00051177
                     37,                 1.5302,                 1.6119,                 1.7153,                0.28566,                0.51014,                0.41712,                0.21377,                  1.793,                 1.5834,                 2.1375,             0.00047876,             0.00047876,             0.00047876
                     38,                 1.5344,                 1.5992,                 1.6866,                0.83823,                0.34653,                0.41594,                0.19621,                 1.8321,                 1.5214,                  2.152,             0.00044576,             0.00044576,             0.00044576
                     39,                 1.4959,                 1.6407,                 1.6855,                0.82676,                0.34158,                0.41949,                0.18741,                 1.7619,                 1.6051,                 2.0915,             0.00041275,             0.00041275,             0.00041275
                     40,                 1.5242,                 1.5605,                 1.7216,                0.27293,                0.52499,                0.42294,                0.21201,                  1.714,                 1.6128,                 2.0388,             0.00037974,             0.00037974,             0.00037974
                     41,                 1.4994,                 1.5366,                 1.8084,                0.32202,                0.44366,                0.41689,                0.19877,                 1.7265,                 1.5581,                 2.0728,             0.00034674,             0.00034674,             0.00034674
                     42,                 1.4717,                 1.4816,                  1.799,                 0.2817,                0.57482,                0.43518,                0.22773,                 1.6249,                 1.5116,                 1.9856,             0.00031373,             0.00031373,             0.00031373
                     43,                 1.4514,                 1.4815,                 1.7954,                0.30555,                 0.6827,                0.42779,                0.20374,                 1.6968,                 1.5339,                 2.0509,             0.00028072,             0.00028072,             0.00028072
                     44,                 1.4235,                 1.4365,                 1.7501,                0.31088,                0.64899,                0.41075,                0.20743,                 1.6267,                 1.5638,                 2.0106,             0.00024772,             0.00024772,             0.00024772
                     45,                 1.4197,                 1.4211,                 1.7897,                0.29279,                0.58359,                 0.4212,                0.20775,                 1.6378,                 1.4786,                 1.9963,             0.00021471,             0.00021471,             0.00021471
                     46,                 1.3955,                 1.3798,                 1.7365,                0.28805,                0.69661,                0.41571,                0.20608,                 1.7349,                 1.4534,                 2.0615,              0.0001817,              0.0001817,              0.0001817
                     47,                 1.3833,                 1.3548,                 1.7321,                0.30042,                0.69165,                0.41748,                0.21135,                 1.6829,                  1.459,                 2.0619,              0.0001487,              0.0001487,              0.0001487
                     48,                 1.3447,                 1.3155,                 1.7057,                0.31572,                0.69661,                0.42893,                0.22105,                 1.6283,                 1.4604,                  1.992,             0.00011569,             0.00011569,             0.00011569
                     49,                 1.3444,                 1.3193,                 1.7098,                0.31606,                0.66785,                0.42855,                0.21903,                 1.6543,                 1.4422,                 2.0043,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                  1.359,                 1.3335,                 1.7223,                0.30492,                0.69661,                 0.4246,                0.21784,                 1.6387,                 1.4201,                 2.0067,             4.9677e-05,             4.9677e-05,             4.9677e-05
